ArrayTaskID RA DEC PX PMRA PMDEC POSEPOCH
0 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.2578345561116056 0.06706353456507053 57849.0
1 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.2578345561116056 0.3285732621155879 57849.0
2 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.2578345561116056 0.5900829896661053 57849.0
3 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.2578345561116056 0.8515927172166227 57849.0
4 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.1521722168243835 0.06706353456507053 57849.0
5 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.1521722168243835 0.3285732621155879 57849.0
6 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.1521722168243835 0.5900829896661053 57849.0
7 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.1521722168243835 0.8515927172166227 57849.0
8 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.1521722168243835 1.11310244476714 57849.0
9 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.0465098775371615 0.06706353456507053 57849.0
10 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.0465098775371615 0.3285732621155879 57849.0
11 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.0465098775371615 0.5900829896661053 57849.0
12 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.0465098775371615 0.8515927172166227 57849.0
13 0:30:27.4249447 4:51:39.7153 2.8773835086748143 -6.0465098775371615 1.11310244476714 57849.0
14 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.2578345561116056 0.06706353456507053 57849.0
15 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.2578345561116056 0.3285732621155879 57849.0
16 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.2578345561116056 0.5900829896661053 57849.0
17 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.2578345561116056 0.8515927172166227 57849.0
18 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.1521722168243835 0.06706353456507053 57849.0
19 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.1521722168243835 0.3285732621155879 57849.0
20 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.1521722168243835 0.5900829896661053 57849.0
21 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.1521722168243835 0.8515927172166227 57849.0
22 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.1521722168243835 1.11310244476714 57849.0
23 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.0465098775371615 0.06706353456507053 57849.0
24 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.0465098775371615 0.3285732621155879 57849.0
25 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.0465098775371615 0.5900829896661053 57849.0
26 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.0465098775371615 0.8515927172166227 57849.0
27 0:30:27.4249447 4:51:39.7153 2.95984364602455 -6.0465098775371615 1.11310244476714 57849.0
28 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.2578345561116056 0.06706353456507053 57849.0
29 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.2578345561116056 0.3285732621155879 57849.0
30 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.2578345561116056 0.5900829896661053 57849.0
31 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.2578345561116056 0.8515927172166227 57849.0
32 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.1521722168243835 0.06706353456507053 57849.0
33 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.1521722168243835 0.3285732621155879 57849.0
34 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.1521722168243835 0.5900829896661053 57849.0
35 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.1521722168243835 0.8515927172166227 57849.0
36 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.1521722168243835 1.11310244476714 57849.0
37 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.0465098775371615 0.06706353456507053 57849.0
38 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.0465098775371615 0.3285732621155879 57849.0
39 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.0465098775371615 0.5900829896661053 57849.0
40 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.0465098775371615 0.8515927172166227 57849.0
41 0:30:27.4249447 4:51:39.7153 3.042303783374286 -6.0465098775371615 1.11310244476714 57849.0
42 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.2578345561116056 0.06706353456507053 57849.0
43 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.2578345561116056 0.3285732621155879 57849.0
44 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.2578345561116056 0.5900829896661053 57849.0
45 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.2578345561116056 0.8515927172166227 57849.0
46 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.1521722168243835 0.06706353456507053 57849.0
47 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.1521722168243835 0.3285732621155879 57849.0
48 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.1521722168243835 0.5900829896661053 57849.0
49 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.1521722168243835 0.8515927172166227 57849.0
50 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.1521722168243835 1.11310244476714 57849.0
51 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.0465098775371615 0.06706353456507053 57849.0
52 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.0465098775371615 0.3285732621155879 57849.0
53 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.0465098775371615 0.5900829896661053 57849.0
54 0:30:27.4249447 4:51:39.7153 3.1247639207240216 -6.0465098775371615 0.8515927172166227 57849.0
