PSR_name,epoch,RAJ,RAJ_err,DECJ,DECJ_err,PMRA,PMRA_err,PMDEC,PMDEC_err,Source
J0437-4715_VLBI,54100,04h37m15.883250s,0h0m0.000003s,"-47°15'09.031863""","0°0'0.000037""",121.679,0.052,-71.820,0.086,Deller et al. (2008)
J0437-4715_timing,54100,04h37m15.883185s,0h0m0.000006s,"-47°15'09.034033""","0°0'0.000070""",121.453,0.010,-71.457,0.012,Verbiest et al. (2008)
J1713+0747_VLBI,52275,17h13m49.5306s,0h0m0.0001s,"07°47'37.519""","0°0'0.002""",4.75,0.17,-3.67,0.16,Chatterjee et al. (2009)
J1713+0747_timing2,52275,17h13m49.5307826s,0h0m0.0000007s,"07°47'37.52339""","0°0'0.00003""",4.917,0.004,-3.933,0.010,Splaver et al. (2005)
J1713+0747_timing,52275,17h13m49.53077s,0h0m0.00001s,"07°47'37.5228""","0°0'0.0002""",4.97,0.06,-3.7,0.01,Hotan et al. (2006)
J1853+1303_VLBI,57846,18h53m57.31785s ,0h0m0.00006s,"13°03'44.0471""","0°0'0.00001""",-1.4,0.1,-2.8,0.2,Ding et al. (2015)
J1853+1303_timing,54000,18h53m57.319174s,0h0m0.000008s,"13°03'44.0784""","0°0'0.0002""",-1.68,0.07,-2.94,0.12,Gonzales et al. (2011)
J1910+1256_VLBI,57847,19h10m09.70165s,0h0m0.00003s,"12°56'25.4316""","0°0'0.000006""",0.50,0.04,-6.85,0.09,Ding et al. (2015)
J1910+1256_timing ,54000,19h10m09.701479s,0h0m0.000008s,"12°56'25.5074"" ","0°0'0.0003""",0.21,0.1,-7.25,0.12,Gonzales et al. (2011)
